Date,Store,Product,Sales,Price,Revenue
2022-03-31,Store_A,Rice,85,59.72,5076.2
2022-04-01,Store_A,Rice,80,349.03,27922.399999999998
2022-04-02,Store_A,Rice,88,329.46,28992.48
2022-04-03,Store_A,Rice,98,126.25,12372.5
2022-04-04,Store_A,Rice,74,169.45,12539.3
2022-04-05,Store_A,Rice,83,426.12,35367.96
2022-04-06,Store_A,Rice,86,332.23,28571.780000000002
2022-04-07,Store_A,Rice,75,190.18,14263.5
2022-04-08,Store_A,Rice,80,139.95,11196.0
2022-04-09,Store_A,Rice,99,319.26,31606.739999999998
2022-04-10,Store_A,Rice,93,399.46,37149.78
2022-04-11,Store_A,Rice,93,251.33,23373.690000000002
2022-04-12,Store_A,Rice,80,105.67,8453.6
2022-04-13,Store_A,Rice,74,21.91,1621.34
2022-04-14,Store_A,Rice,84,326.28,27407.519999999997
2022-04-15,Store_A,Rice,79,483.66,38209.14
2022-04-16,Store_A,Rice,98,482.17,47252.66
2022-04-17,Store_A,Rice,92,198.7,18280.399999999998
2022-04-18,Store_A,Rice,83,427.06,35445.98
2022-04-19,Store_A,Rice,75,282.83,21212.25
2022-04-20,Store_A,Rice,77,468.72,36091.44
2022-04-21,Store_A,Rice,82,57.62,4724.84
2022-04-22,Store_A,Rice,88,311.35,27398.800000000003
2022-04-23,Store_A,Rice,99,372.98,36925.020000000004
2022-04-24,Store_A,Rice,94,351.54,33044.76
2022-04-25,Store_A,Rice,74,153.86,11385.640000000001
2022-04-26,Store_A,Rice,86,406.59,34966.74
2022-04-27,Store_A,Rice,81,457.49,37056.69
2022-04-28,Store_A,Rice,80,260.56,20844.8
2022-04-29,Store_A,Rice,86,328.48,28249.280000000002
2022-04-30,Store_A,Rice,94,353.96,33272.24
2022-05-01,Store_A,Rice,92,175.62,16157.04
2022-05-02,Store_A,Rice,76,194.04,14747.039999999999
2022-05-03,Store_A,Rice,76,27.61,2098.36
2022-05-04,Store_A,Rice,71,238.14,16907.94
2022-05-05,Store_A,Rice,67,299.51,20067.17
2022-05-06,Store_A,Rice,77,24.95,1921.1499999999999
2022-05-07,Store_A,Rice,86,265.9,22867.399999999998
2022-05-08,Store_A,Rice,89,387.3,34469.700000000004
2022-05-09,Store_A,Rice,78,51.82,4041.96
2022-05-10,Store_A,Rice,69,35.32,2437.08
2022-05-11,Store_A,Rice,87,322.34,28043.579999999998
2022-05-12,Store_A,Rice,85,365.78,31091.3
2022-05-13,Store_A,Rice,76,168.25,12787.0
2022-05-14,Store_A,Rice,93,399.64,37166.52
2022-05-15,Store_A,Rice,88,48.44,4262.719999999999
2022-05-16,Store_A,Rice,67,22.42,1502.14
2022-05-17,Store_A,Rice,72,94.91,6833.5199999999995
2022-05-18,Store_A,Rice,84,86.65,7278.6
2022-05-19,Store_A,Rice,77,360.15,27731.55
2022-05-20,Store_A,Rice,67,333.5,22344.5
2022-05-21,Store_A,Rice,92,309.74,28496.08
2022-05-22,Store_A,Rice,99,215.6,21344.399999999998
2022-05-23,Store_A,Rice,72,381.34,27456.48
2022-05-24,Store_A,Rice,69,17.05,1176.45
2022-05-25,Store_A,Rice,74,57.94,4287.5599999999995
2022-05-26,Store_A,Rice,85,250.89,21325.649999999998
2022-05-27,Store_A,Rice,69,222.59,15358.710000000001
2022-05-28,Store_A,Rice,90,205.27,18474.3
2022-05-29,Store_A,Rice,98,32.2,3155.6000000000004
2022-05-30,Store_A,Rice,82,193.56,15871.92
2022-05-31,Store_A,Rice,76,429.68,32655.68
2022-06-01,Store_A,Rice,82,332.76,27286.32
2022-06-02,Store_A,Rice,69,297.03,20495.07
2022-06-03,Store_A,Rice,71,470.71,33420.409999999996
2022-06-04,Store_A,Rice,76,325.21,24715.96
2022-06-05,Store_A,Rice,92,234.54,21577.68
2022-06-06,Store_A,Rice,74,199.19,14740.06
2022-06-07,Store_A,Rice,71,480.98,34149.58
2022-06-08,Store_A,Rice,68,166.3,11308.400000000001
2022-06-09,Store_A,Rice,72,423.99,30527.28
2022-06-10,Store_A,Rice,67,351.4,23543.8
2022-06-11,Store_A,Rice,84,318.18,26727.12
2022-06-12,Store_A,Rice,87,403.71,35122.77
2022-06-13,Store_A,Rice,73,148.2,10818.599999999999
2022-06-14,Store_A,Rice,73,405.35,29590.550000000003
2022-06-15,Store_A,Rice,67,495.35,33188.450000000004
2022-06-16,Store_A,Rice,62,390.44,24207.28
2022-06-17,Store_A,Rice,64,176.99,11327.36
2022-06-18,Store_A,Rice,93,379.73,35314.89
2022-06-19,Store_A,Rice,83,60.53,5023.99
2022-06-20,Store_A,Rice,71,414.96,29462.16
2022-06-21,Store_A,Rice,75,166.82,12511.5
2022-06-22,Store_A,Rice,69,15.31,1056.39
2022-06-23,Store_A,Rice,75,453.64,34023.0
2022-06-24,Store_A,Rice,69,475.53,32811.57
2022-06-25,Store_A,Rice,82,475.8,39015.6
2022-06-26,Store_A,Rice,95,229.74,21825.3
2022-06-27,Store_A,Rice,76,153.67,11678.919999999998
2022-06-28,Store_A,Rice,77,378.66,29156.820000000003
2022-06-29,Store_A,Rice,65,397.87,25861.55
2022-06-30,Store_A,Rice,67,279.27,18711.09
2022-07-01,Store_A,Rice,65,226.35,14712.75
2022-07-02,Store_A,Rice,79,67.36,5321.44
2022-07-03,Store_A,Rice,85,80.07,6805.95
2022-07-04,Store_A,Rice,69,59.55,4108.95
2022-07-05,Store_A,Rice,72,51.21,3687.12
2022-07-06,Store_A,Rice,63,412.71,26000.73
2022-07-07,Store_A,Rice,67,356.06,23856.02
2022-07-08,Store_A,Rice,71,474.15,33664.65
2022-07-09,Store_A,Rice,78,493.14,38464.92
2022-07-10,Store_A,Rice,77,50.92,3920.84
2022-07-11,Store_A,Rice,72,390.8,28137.600000000002
2022-07-12,Store_A,Rice,55,454.11,24976.05
2022-07-13,Store_A,Rice,73,64.49,4707.7699999999995
2022-07-14,Store_A,Rice,64,239.64,15336.96
2022-07-15,Store_A,Rice,65,37.59,2443.3500000000004
2022-07-16,Store_A,Rice,87,295.85,25738.95
2022-07-17,Store_A,Rice,84,481.46,40442.64
2022-07-18,Store_A,Rice,58,435.61,25265.38
2022-07-19,Store_A,Rice,61,119.56,7293.16
2022-07-20,Store_A,Rice,66,496.55,32772.3
2022-07-21,Store_A,Rice,70,46.16,3231.2
2022-07-22,Store_A,Rice,68,266.32,18109.76
2022-07-23,Store_A,Rice,81,318.41,25791.210000000003
2022-07-24,Store_A,Rice,78,317.5,24765.0
2022-07-25,Store_A,Rice,75,296.31,22223.25
2022-07-26,Store_A,Rice,65,313.86,20400.9
2022-07-27,Store_A,Rice,70,145.92,10214.4
2022-07-28,Store_A,Rice,65,183.14,11904.099999999999
2022-07-29,Store_A,Rice,59,295.99,17463.41
2022-07-30,Store_A,Rice,71,408.76,29021.96
2022-07-31,Store_A,Rice,82,345.52,28332.64
2022-08-01,Store_A,Rice,66,214.94,14186.039999999999
2022-08-02,Store_A,Rice,69,467.04,32225.760000000002
2022-08-03,Store_A,Rice,61,407.17,24837.370000000003
2022-08-04,Store_A,Rice,60,493.77,29626.199999999997
2022-08-05,Store_A,Rice,63,196.64,12388.32
2022-08-06,Store_A,Rice,71,485.26,34453.46
2022-08-07,Store_A,Rice,78,239.66,18693.48
2022-08-08,Store_A,Rice,63,213.26,13435.38
2022-08-09,Store_A,Rice,61,433.71,26456.309999999998
2022-08-10,Store_A,Rice,62,408.32,25315.84
2022-08-11,Store_A,Rice,69,472.94,32632.86
2022-08-12,Store_A,Rice,63,426.33,26858.789999999997
2022-08-13,Store_A,Rice,75,73.29,5496.750000000001
2022-08-14,Store_A,Rice,69,477.49,32946.81
2022-08-15,Store_A,Rice,55,339.13,18652.15
2022-08-16,Store_A,Rice,65,312.88,20337.2
2022-08-17,Store_A,Rice,58,339.07,19666.06
2022-08-18,Store_A,Rice,60,264.95,15897.0
2022-08-19,Store_A,Rice,62,427.57,26509.34
2022-08-20,Store_A,Rice,85,280.43,23836.55
2022-08-21,Store_A,Rice,82,207.71,17032.22
2022-08-22,Store_A,Rice,63,75.67,4767.21
2022-08-23,Store_A,Rice,69,114.35,7890.15
2022-08-24,Store_A,Rice,66,76.82,5070.12
2022-08-25,Store_A,Rice,53,224.36,11891.08
2022-08-26,Store_A,Rice,69,453.04,31259.760000000002
2022-08-27,Store_A,Rice,78,393.99,30731.22
2022-08-28,Store_A,Rice,66,204.31,13484.460000000001
2022-08-29,Store_A,Rice,67,475.27,31843.09
2022-08-30,Store_A,Rice,63,82.07,5170.41
2022-08-31,Store_A,Rice,62,136.54,8465.48
2022-09-01,Store_A,Rice,64,234.98,15038.72
2022-09-02,Store_A,Rice,60,171.09,10265.4
2022-09-03,Store_A,Rice,78,320.37,24988.86
2022-09-04,Store_A,Rice,75,73.15,5486.25
2022-09-05,Store_A,Rice,60,72.74,4364.4
2022-09-06,Store_A,Rice,55,179.38,9865.9
2022-09-07,Store_A,Rice,63,449.43,28314.09
2022-09-08,Store_A,Rice,71,94.44,6705.24
2022-09-09,Store_A,Rice,59,104.22,6148.98
2022-09-10,Store_A,Rice,71,53.46,3795.66
2022-09-11,Store_A,Rice,73,69.11,5045.03
2022-09-12,Store_A,Rice,53,188.49,9989.970000000001
2022-09-13,Store_A,Rice,60,256.67,15400.2
2022-09-14,Store_A,Rice,60,401.71,24102.6
2022-09-15,Store_A,Rice,61,317.67,19377.870000000003
2022-09-16,Store_A,Rice,65,376.65,24482.25
2022-09-17,Store_A,Rice,72,100.42,7230.24
2022-09-18,Store_A,Rice,73,247.42,18061.66
2022-09-19,Store_A,Rice,54,312.94,16898.76
2022-09-20,Store_A,Rice,57,376.26,21446.82
2022-09-21,Store_A,Rice,50,27.97,1398.5
2022-09-22,Store_A,Rice,65,448.65,29162.25
2022-09-23,Store_A,Rice,56,260.72,14600.320000000002
2022-09-24,Store_A,Rice,71,229.23,16275.33
2022-09-25,Store_A,Rice,76,270.98,20594.480000000003
2022-09-26,Store_A,Rice,56,194.87,10912.720000000001
2022-09-27,Store_A,Rice,56,19.83,1110.48
2022-09-28,Store_A,Rice,55,170.47,9375.85
2022-09-29,Store_A,Rice,57,68.68,3914.76
2022-09-30,Store_A,Rice,62,342.76,21251.12
2022-10-01,Store_A,Rice,81,396.69,32131.89
2022-10-02,Store_A,Rice,72,273.18,19668.96
2022-10-03,Store_A,Rice,62,297.55,18448.100000000002
2022-10-04,Store_A,Rice,60,72.51,4350.6
2022-10-05,Store_A,Rice,70,149.05,10433.5
2022-10-06,Store_A,Rice,69,289.68,19987.920000000002
2022-10-07,Store_A,Rice,55,184.49,10146.95
2022-10-08,Store_A,Rice,77,126.24,9720.48
2022-10-09,Store_A,Rice,77,59.87,4609.99
2022-10-10,Store_A,Rice,60,88.73,5323.8
2022-10-11,Store_A,Rice,59,101.42,5983.78
2022-10-12,Store_A,Rice,58,449.42,26066.36
2022-10-13,Store_A,Rice,59,49.31,2909.29
2022-10-14,Store_A,Rice,49,491.37,24077.13
2022-10-15,Store_A,Rice,80,64.9,5192.0
2022-10-16,Store_A,Rice,79,434.1,34293.9
2022-10-17,Store_A,Rice,61,410.37,25032.57
2022-10-18,Store_A,Rice,58,337.64,19583.12
2022-10-19,Store_A,Rice,59,465.39,27458.01
2022-10-20,Store_A,Rice,72,147.19,10597.68
2022-10-21,Store_A,Rice,70,387.05,27093.5
2022-10-22,Store_A,Rice,74,218.46,16166.04
2022-10-23,Store_A,Rice,72,258.73,18628.56
2022-10-24,Store_A,Rice,60,309.2,18552.0
2022-10-25,Store_A,Rice,60,151.43,9085.800000000001
2022-10-26,Store_A,Rice,56,245.76,13762.56
2022-10-27,Store_A,Rice,63,270.97,17071.11
2022-10-28,Store_A,Rice,61,75.86,4627.46
2022-10-29,Store_A,Rice,75,41.05,3078.75
2022-10-30,Store_A,Rice,74,343.94,25451.56
2022-10-31,Store_A,Rice,66,382.51,25245.66
2022-11-01,Store_A,Rice,62,211.8,13131.6
2022-11-02,Store_A,Rice,78,180.95,14114.099999999999
2022-11-03,Store_A,Rice,66,98.8,6520.8
2022-11-04,Store_A,Rice,66,42.58,2810.2799999999997
2022-11-05,Store_A,Rice,83,422.5,35067.5
2022-11-06,Store_A,Rice,88,78.49,6907.12
2022-11-07,Store_A,Rice,63,90.19,5681.97
2022-11-08,Store_A,Rice,68,90.49,6153.32
2022-11-09,Store_A,Rice,68,266.3,18108.4
2022-11-10,Store_A,Rice,71,185.83,13193.93
2022-11-11,Store_A,Rice,64,410.13,26248.32
2022-11-12,Store_A,Rice,85,225.18,19140.3
2022-11-13,Store_A,Rice,77,157.68,12141.36
2022-11-14,Store_A,Rice,54,376.33,20321.82
2022-11-15,Store_A,Rice,58,450.79,26145.82
2022-11-16,Store_A,Rice,66,198.11,13075.26
2022-11-17,Store_A,Rice,70,315.88,22111.6
2022-11-18,Store_A,Rice,66,67.28,4440.4800000000005
2022-11-19,Store_A,Rice,81,174.1,14102.1
2022-11-20,Store_A,Rice,83,78.24,6493.919999999999
2022-11-21,Store_A,Rice,68,271.4,18455.199999999997
2022-11-22,Store_A,Rice,72,448.01,32256.72
2022-11-23,Store_A,Rice,63,162.74,10252.62
2022-11-24,Store_A,Rice,68,131.76,8959.68
2022-11-25,Store_A,Rice,73,439.62,32092.260000000002
2022-11-26,Store_A,Rice,83,177.62,14742.460000000001
2022-11-27,Store_A,Rice,87,83.46,7261.0199999999995
2022-11-28,Store_A,Rice,63,122.33,7706.79
2022-11-29,Store_A,Rice,70,324.16,22691.2
2022-11-30,Store_A,Rice,70,350.03,24502.1
2022-12-01,Store_A,Rice,62,179.39,11122.179999999998
2022-12-02,Store_A,Rice,72,98.98,7126.56
2022-12-03,Store_A,Rice,86,206.42,17752.12
2022-12-04,Store_A,Rice,90,236.38,21274.2
2022-12-05,Store_A,Rice,71,309.61,21982.31
2022-12-06,Store_A,Rice,84,18.87,1585.0800000000002
2022-12-07,Store_A,Rice,79,462.02,36499.58
2022-12-08,Store_A,Rice,73,356.55,26028.15
2022-12-09,Store_A,Rice,72,307.29,22124.88
2022-12-10,Store_A,Rice,80,217.82,17425.6
2022-12-11,Store_A,Rice,86,463.53,39863.579999999994
2022-12-12,Store_A,Rice,71,230.91,16394.61
2022-12-13,Store_A,Rice,83,205.51,17057.329999999998
2022-12-14,Store_A,Rice,73,36.83,2688.5899999999997
2022-12-15,Store_A,Rice,76,12.27,932.52
2022-12-16,Store_A,Rice,68,173.41,11791.88
2022-12-17,Store_A,Rice,90,460.73,41465.700000000004
2022-12-18,Store_A,Rice,74,179.71,13298.54
2022-12-19,Store_A,Rice,77,231.59,17832.43
2022-12-20,Store_A,Rice,66,120.06,7923.96
2022-12-21,Store_A,Rice,65,96.43,6267.950000000001
2022-12-22,Store_A,Rice,70,254.2,17794.0
2022-12-23,Store_A,Rice,75,187.57,14067.75
2022-12-24,Store_A,Rice,85,294.49,25031.65
2022-12-25,Store_A,Rice,80,480.92,38473.6
2022-12-26,Store_A,Rice,73,82.84,6047.320000000001
2022-12-27,Store_A,Rice,67,498.47,33397.490000000005
2022-12-28,Store_A,Rice,70,256.08,17925.6
2022-12-29,Store_A,Rice,67,377.48,25291.16
2022-12-30,Store_A,Rice,71,112.85,8012.349999999999
2022-12-31,Store_A,Rice,85,103.44,8792.4
2023-01-01,Store_A,Rice,91,27.91,2539.81
2023-01-02,Store_A,Rice,88,42.2,3713.6000000000004
2023-01-03,Store_A,Rice,70,390.01,27300.7
2023-01-04,Store_A,Rice,82,225.97,18529.54
2023-01-05,Store_A,Rice,62,206.37,12794.94
2023-01-06,Store_A,Rice,70,99.14,6939.8
2023-01-07,Store_A,Rice,92,432.27,39768.84
2023-01-08,Store_A,Rice,90,142.66,12839.4
2023-01-09,Store_A,Rice,78,325.56,25393.68
2023-01-10,Store_A,Rice,74,86.51,6401.740000000001
2023-01-11,Store_A,Rice,75,360.83,27062.25
2023-01-12,Store_A,Rice,75,118.77,8907.75
2023-01-13,Store_A,Rice,76,123.23,9365.48
2023-01-14,Store_A,Rice,91,97.49,8871.59
2023-01-15,Store_A,Rice,90,329.85,29686.500000000004
2023-01-16,Store_A,Rice,74,129.15,9557.1
2023-01-17,Store_A,Rice,74,363.91,26929.34
2023-01-18,Store_A,Rice,77,204.62,15755.74
2023-01-19,Store_A,Rice,77,337.36,25976.72
2023-01-20,Store_A,Rice,72,449.2,32342.399999999998
2023-01-21,Store_A,Rice,86,16.37,1407.8200000000002
2023-01-22,Store_A,Rice,82,447.41,36687.62
2023-01-23,Store_A,Rice,84,410.55,34486.200000000004
2023-01-24,Store_A,Rice,69,196.05,13527.45
2023-01-25,Store_A,Rice,71,299.24,21246.04
2023-01-26,Store_A,Rice,79,210.61,16638.190000000002
2023-01-27,Store_A,Rice,68,280.5,19074.0
2023-01-28,Store_A,Rice,82,474.74,38928.68
2023-01-29,Store_A,Rice,88,384.17,33806.96
2023-01-30,Store_A,Rice,80,401.93,32154.4
2023-01-31,Store_A,Rice,75,218.35,16376.25
2023-02-01,Store_A,Rice,90,136.36,12272.400000000001
2023-02-02,Store_A,Rice,83,78.28,6497.24
2023-02-03,Store_A,Rice,73,143.43,10470.390000000001
2023-02-04,Store_A,Rice,95,19.01,1805.95
2023-02-05,Store_A,Rice,86,281.55,24213.3
2023-02-06,Store_A,Rice,82,329.2,26994.399999999998
2023-02-07,Store_A,Rice,77,15.39,1185.03
2023-02-08,Store_A,Rice,82,77.07,6319.74
2023-02-09,Store_A,Rice,87,335.87,29220.69
2023-02-10,Store_A,Rice,87,95.93,8345.91
2023-02-11,Store_A,Rice,93,197.74,18389.82
2023-02-12,Store_A,Rice,98,264.27,25898.46
2023-02-13,Store_A,Rice,77,305.54,23526.58
2023-02-14,Store_A,Rice,80,130.22,10417.6
2023-02-15,Store_A,Rice,72,184.28,13268.16
2023-02-16,Store_A,Rice,75,362.33,27174.75
2023-02-17,Store_A,Rice,82,243.26,19947.32
2023-02-18,Store_A,Rice,85,335.2,28492.0
2023-02-19,Store_A,Rice,95,115.32,10955.4
2023-02-20,Store_A,Rice,80,25.28,2022.4
2023-02-21,Store_A,Rice,82,35.2,2886.4
2023-02-22,Store_A,Rice,72,253.22,18231.84
2023-02-23,Store_A,Rice,71,387.75,27530.25
2023-02-24,Store_A,Rice,84,62.23,5227.32
2023-02-25,Store_A,Rice,95,252.79,24015.05
2023-02-26,Store_A,Rice,92,347.32,31953.44
2023-02-27,Store_A,Rice,71,411.36,29206.56
2023-02-28,Store_A,Rice,77,401.71,30931.67
2023-03-01,Store_A,Rice,75,299.21,22440.75
2023-03-02,Store_A,Rice,85,186.88,15884.8
2023-03-03,Store_A,Rice,74,275.53,20389.219999999998
2023-03-04,Store_A,Rice,94,437.74,41147.56
2023-03-05,Store_A,Rice,100,332.8,33280.0
2023-03-06,Store_A,Rice,84,349.22,29334.480000000003
2023-03-07,Store_A,Rice,78,249.82,19485.96
2023-03-08,Store_A,Rice,84,118.39,9944.76
2023-03-09,Store_A,Rice,85,26.63,2263.5499999999997
2023-03-10,Store_A,Rice,81,351.74,28490.940000000002
2023-03-11,Store_A,Rice,98,485.82,47610.36
2023-03-12,Store_A,Rice,94,472.69,44432.86
2023-03-13,Store_A,Rice,86,423.83,36449.38
2023-03-14,Store_A,Rice,80,166.36,13308.800000000001
2023-03-15,Store_A,Rice,73,69.08,5042.84
2023-03-16,Store_A,Rice,83,47.71,3959.9300000000003
2023-03-17,Store_A,Rice,75,365.14,27385.5
2023-03-18,Store_A,Rice,102,42.02,4286.04
2023-03-19,Store_A,Rice,98,397.45,38950.1
2023-03-20,Store_A,Rice,71,166.19,11799.49
2023-03-21,Store_A,Rice,85,311.77,26500.449999999997
2023-03-22,Store_A,Rice,82,124.15,10180.300000000001
2023-03-23,Store_A,Rice,84,401.4,33717.6
2023-03-24,Store_A,Rice,81,498.99,40418.19
2023-03-25,Store_A,Rice,102,206.95,21108.899999999998
2023-03-26,Store_A,Rice,92,245.14,22552.879999999997
2023-03-27,Store_A,Rice,85,492.2,41837.0
2023-03-28,Store_A,Rice,82,386.45,31688.899999999998
2023-03-29,Store_A,Rice,72,371.42,26742.24
2023-03-30,Store_A,Rice,72,127.0,9144.0
2023-03-31,Store_A,Rice,79,150.75,11909.25
2023-04-01,Store_A,Rice,90,155.19,13967.1
2023-04-02,Store_A,Rice,84,343.03,28814.519999999997
2023-04-03,Store_A,Rice,73,116.94,8536.619999999999
2023-04-04,Store_A,Rice,78,440.77,34380.06
2023-04-05,Store_A,Rice,75,472.92,35469.0
2023-04-06,Store_A,Rice,91,91.85,8358.35
2023-04-07,Store_A,Rice,76,495.67,37670.92
2023-04-08,Store_A,Rice,100,261.22,26122.000000000004
2023-04-09,Store_A,Rice,102,123.03,12549.06
2023-04-10,Store_A,Rice,77,101.35,7803.95
2023-04-11,Store_A,Rice,76,392.0,29792.0
2023-04-12,Store_A,Rice,77,484.86,37334.22
2023-04-13,Store_A,Rice,78,443.06,34558.68
2023-04-14,Store_A,Rice,77,381.54,29378.58
2023-04-15,Store_A,Rice,88,351.05,30892.4
2023-04-16,Store_A,Rice,96,119.98,11518.08
2023-04-17,Store_A,Rice,77,119.67,9214.59
2023-04-18,Store_A,Rice,91,294.24,26775.84
2023-04-19,Store_A,Rice,84,54.83,4605.72
2023-04-20,Store_A,Rice,77,73.46,5656.419999999999
2023-04-21,Store_A,Rice,82,445.49,36530.18
2023-04-22,Store_A,Rice,97,279.92,27152.24
2023-04-23,Store_A,Rice,100,52.62,5262.0
2023-04-24,Store_A,Rice,70,137.28,9609.6
2023-04-25,Store_A,Rice,73,364.48,26607.04
2023-04-26,Store_A,Rice,75,117.89,8841.75
2023-04-27,Store_A,Rice,79,344.8,27239.2
2023-04-28,Store_A,Rice,62,300.28,18617.359999999997
2023-04-29,Store_A,Rice,90,414.09,37268.1
2023-04-30,Store_A,Rice,101,287.21,29008.21
2023-05-01,Store_A,Rice,70,140.84,9858.800000000001
2023-05-02,Store_A,Rice,77,332.64,25613.28
2023-05-03,Store_A,Rice,77,426.79,32862.83
2023-05-04,Store_A,Rice,78,420.14,32770.92
2023-05-05,Store_A,Rice,79,351.76,27789.04
2023-05-06,Store_A,Rice,96,378.83,36367.68
2023-05-07,Store_A,Rice,98,87.72,8596.56
2023-05-08,Store_A,Rice,74,374.32,27699.68
2023-05-09,Store_A,Rice,71,88.77,6302.67
2023-05-10,Store_A,Rice,78,258.66,20175.480000000003
2023-05-11,Store_A,Rice,78,13.13,1024.14
2023-05-12,Store_A,Rice,80,490.78,39262.399999999994
2023-05-13,Store_A,Rice,83,319.59,26525.969999999998
2023-05-14,Store_A,Rice,94,274.59,25811.46
2023-05-15,Store_A,Rice,69,392.12,27056.28
2023-05-16,Store_A,Rice,77,275.22,21191.940000000002
2023-05-17,Store_A,Rice,73,481.87,35176.51
2023-05-18,Store_A,Rice,82,466.69,38268.58
